path,en,zh-cn,ja
staking.Day,"Day", "Day",
staking.Daily_Delegate_Req,"Daily_Delegate_Req", "Daily_Delegate_Req",
staking.Daily_UnDelegate_Req,"Daily_UnDelegate_Req", "Daily_UnDelegate_Req",
staking.Actually_Delegateed,"Actually_Delegateed", "Actually_Delegateed",
staking.Should_UnDelegated,"Should_UnDelegated", "Should_UnDelegated",
staking.Actually_UnDelegated,"Actually_UnDelegated", "Actually_UnDelegated",
staking.Interest,"Interest", "Interest",
staking.Principal,"Principal", "Principal",
staking.Cur_Delegated,"Cur_Delegated", "Cur_Delegated",
staking.Cur_UnDelegated,"Cur_UnDelegated", "Cur_UnDelegated",
staking.Available_Staking_Balance,"Available Balance of Staking Account", "Available Balance of Staking Account",
staking.Total_Staking_Balance,"Total Balance of Staking Account", "Total Balance of Staking Account",
staking.Available_Main_Balance,"Available Balance of Main Account", "Available Balance of Main Account",
staking.Total_Balance,"Total Balance", "Total Balance",
staking.Date,"Date","Date",
staking.Daily_Delegate_Req,"Daily_Delegate_Req", "Daily_Delegate_Req",
staking.Daily_UnDelegate_Req,"Daily_UnDelegate_Req", "Daily_UnDelegate_Req",
staking.Actually_Delegateed,"Actually_Delegateed", "Actually_Delegateed",
staking.Should_UnDelegated,"Should_UnDelegated","Should_UnDelegated",
staking.Actually_UnDelegated,"Actually_UnDelegated", "Actually_UnDelegated",
staking.Interest,"Interest", "Interest",
staking.Principal,"Principal", "Principal",
staking.Expire_UnDel,"Expire_UnDel", "Expire_UnDel",
staking.Expect_Funding,"Expect_Funding", "Expect_Funding",
staking.Funding_Require_From_Api,"Funding_Require_From_Api", "Funding_Require_From_Api",
staking.Actually_Funding,"Actually_Funding", "Actually_Funding",
staking.Funding_Gap,"Funding_Gap", "Funding_Gap",
